time	V(in)	V(vt1)	V(vt2)	I(D2)
5.666600000046734e-004	5.025993e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.702414285761026e-004	5.011403e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.738228571475320e-004	4.999208e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.774042857189612e-004	4.989406e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.809857142903904e-004	4.981998e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.845671428618196e-004	4.976984e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.881485714332490e-004	4.974365e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.917300000046782e-004	4.974139e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.953114285761074e-004	4.988799e+000	5.299374e+000	4.800185e+000	1.774150e-015
5.988928571475367e-004	5.001029e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.024742857189659e-004	5.010829e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.060557142903952e-004	5.018198e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.096371428618245e-004	5.023138e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.132185714332537e-004	5.025647e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.168000000046829e-004	5.025726e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.203485714332551e-004	5.011210e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.238971428618271e-004	4.999068e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.274457142903992e-004	4.989300e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.309942857189713e-004	4.981907e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.345428571475435e-004	4.976887e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.380914285761155e-004	4.974241e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.416400000046876e-004	4.973969e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.452214285761168e-004	4.988539e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.488028571475462e-004	5.000725e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.523842857189754e-004	5.010527e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.559657142904046e-004	5.017946e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.595471428618338e-004	5.022981e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.631285714332632e-004	5.025632e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.667100000046924e-004	5.025899e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.702914285761216e-004	5.011259e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.738728571475509e-004	4.999038e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.774542857189801e-004	4.989238e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.810357142904094e-004	4.981857e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.846171428618387e-004	4.976897e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.881985714332679e-004	4.974356e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.917800000046971e-004	4.974236e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.935214285761260e-004	4.978892e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.952628571475550e-004	4.983906e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.970042857189838e-004	4.989279e+000	5.299374e+000	4.800185e+000	1.774150e-015
6.987457142904127e-004	4.995010e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.004871428618416e-004	5.001100e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.022285714332706e-004	5.007547e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.039700000046994e-004	5.014353e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.042000000046995e-004	5.015109e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.072557142904143e-004	5.023259e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.103114285761292e-004	5.027867e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.133671428618440e-004	5.028933e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.164228571475590e-004	5.026458e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.194785714332738e-004	5.020440e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.225342857189887e-004	5.010880e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.255900000047035e-004	4.997778e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.286128571475613e-004	4.985615e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.316357142904189e-004	4.977045e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.346585714332767e-004	4.972068e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.376814285761343e-004	4.970683e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.407042857189921e-004	4.972891e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.437271428618498e-004	4.978692e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.467500000047075e-004	4.988086e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.499042857189938e-004	5.002510e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.530585714332802e-004	5.013694e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.562128571475665e-004	5.021637e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.593671428618527e-004	5.026339e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.625214285761390e-004	5.027800e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.656757142904254e-004	5.026020e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.688300000047117e-004	5.020999e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.721814285761409e-004	5.006169e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.755328571475702e-004	4.994105e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.788842857189993e-004	4.984807e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.822357142904285e-004	4.978275e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.855871428618577e-004	4.974508e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.889385714332870e-004	4.973508e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.922900000047161e-004	4.975273e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.958057142904311e-004	4.990031e+000	5.299374e+000	4.800185e+000	1.774150e-015
7.993214285761460e-004	5.002264e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.028371428618609e-004	5.011970e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.063528571475760e-004	5.019149e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.098685714332909e-004	5.023803e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.133842857190059e-004	5.025929e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.169000000047208e-004	5.025530e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.204485714332929e-004	5.010917e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.239971428618650e-004	4.998729e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.275457142904371e-004	4.988965e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.310942857190092e-004	4.981627e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.346428571475813e-004	4.976713e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.381914285761534e-004	4.974223e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.417400000047255e-004	4.974159e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.452885714332976e-004	4.988615e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.488371428618697e-004	5.000728e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.523857142904418e-004	5.010498e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.559342857190139e-004	5.017924e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.594828571475860e-004	5.023007e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.630314285761581e-004	5.025747e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.665800000047302e-004	5.026143e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.701614285761594e-004	5.011634e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.737428571475887e-004	4.999478e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.773242857190180e-004	4.989675e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.809057142904472e-004	4.982224e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.844871428618764e-004	4.977126e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.880685714333057e-004	4.974381e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.916500000047349e-004	4.973988e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.952314285761642e-004	4.988568e+000	5.299374e+000	4.800185e+000	1.774150e-015
8.988128571475935e-004	5.000759e+000	5.299374e+000	4.800185e+000	1.774150e-015
9.023942857190227e-004	5.010561e+000	5.299374e+000	4.800185e+000	1.774150e-015
